Source,Target,Type,Id,Label,Weight
Malcolm McLeod,PR,Undirected,1032,,1
Malcolm McLeod,Roger Canals,Undirected,1033,,1
Margaret Mary Vale,Nicola Bird,Undirected,1034,,1
Margaret Mary Vale,Nuha Abdo,Undirected,1035,,1
Margaret Mary Vale,PR,Undirected,1036,,1
Margaret Mary Vale,Reem Alalaf ,Undirected,1037,,1
Margaret Mary Vale,Refugee Resource,Undirected,1038,,1
Margaret Mary Vale,Sheila Paine,Undirected,1039,,1
Margaret Mary Vale,Shelagh Weir,Undirected,1040,,1
Margaret Mary Vale,Syrian Sisters,Undirected,1041,,1
Margaret Mary Vale,Widad Kawar,Undirected,1042,,1
Margaret Mary Vale,the History of Science Museum,Undirected,1043,,1
María Soler,Mehdi En Nebigui,Undirected,1044,,1
María Soler,Mª del Carmen García,Undirected,1045,,1
María Soler,Pablo Serrano,Undirected,1046,,1
María Soler,Pilar Rey,Undirected,1047,,1
María Soler,Samuel Cordero,Undirected,1048,,1
María Soler,Subdirección General de Museos Estatales,Undirected,1049,,1
McDonald Institute for Archaeological,Research Arts council England,Undirected,1050,,1
McDonald Institute for Archaeological,UK Research and Innovation,Undirected,1051,,1
Mehdi En Nebigui,Mª del Carmen García,Undirected,1052,,1
